tenure,Contract,OnlineSecurity,TechSupport,MonthlyCharges,TotalCharges,SeniorCitizen,PaymentMethod,Probabilidad_Fuga,Nivel_Riesgo,Impacto_Mensual
1,0,0,0,70.25,70.25,0,2,0.8099698801800984,Alto,70.25
1,0,0,0,70.0,70.0,0,2,0.8099698801800984,Alto,70.0
3,0,0,0,105.35,323.25,0,0,0.8092720520733754,Alto,105.35
1,0,0,0,69.55,69.55,0,2,0.8070037820922753,Alto,69.55
1,0,0,0,69.1,69.1,0,2,0.8070037820922753,Alto,69.1
1,0,0,0,68.65,68.65,0,2,0.8070037820922753,Alto,68.65
1,0,0,0,74.25,74.25,0,3,0.8057317929973732,Alto,74.25
1,0,0,0,85.55,85.55,0,1,0.8045713857718259,Alto,85.55
5,0,0,0,75.55,349.65,1,1,0.803697581969818,Alto,75.55
3,0,2,0,99.0,287.4,0,1,0.8031538558955257,Alto,99.0
2,0,0,0,86.85,156.35,1,3,0.7944574095847451,Alto,86.85
1,0,0,0,69.9,69.9,0,3,0.7922300483286621,Alto,69.9
1,0,0,0,44.0,44.0,1,2,0.7897594345469925,Alto,44.0
4,0,0,0,77.85,299.2,0,2,0.7853136468563983,Alto,77.85
7,0,0,0,98.05,713.0,0,0,0.784916749946431,Alto,98.05
2,0,0,0,90.4,168.2,0,2,0.7848795520845051,Alto,90.4
3,0,0,0,90.4,268.45,0,2,0.7848795520845051,Alto,90.4
3,0,0,0,89.45,240.45,0,2,0.7848795520845051,Alto,89.45
2,0,0,0,94.2,193.8,0,0,0.7837151682415545,Alto,94.2
1,0,0,0,75.35,75.35,0,1,0.7812482368720374,Alto,75.35
1,0,0,0,71.0,71.0,1,2,0.7809154423857666,Alto,71.0
2,0,0,0,85.7,169.8,0,2,0.779541878870348,Alto,85.7
3,0,0,0,85.3,264.8,0,2,0.779541878870348,Alto,85.3
1,0,0,0,71.1,71.1,0,3,0.7782663523728928,Alto,71.1
7,0,0,0,84.35,609.65,1,2,0.7774066913406906,Alto,84.35
11,0,0,0,100.75,1129.75,0,2,0.7762265152115746,Alto,100.75
7,0,0,0,89.15,574.35,1,2,0.7723684137439567,Alto,89.15
7,0,0,0,89.0,605.45,1,2,0.7723684137439567,Alto,89.0
4,0,0,0,84.6,360.1,1,2,0.7695129155833134,Alto,84.6
2,0,0,0,79.6,195.05,1,2,0.7680403700044441,Alto,79.6
5,0,0,0,85.3,424.15,0,2,0.766021710521622,Alto,85.3
6,0,0,0,90.75,512.25,0,2,0.7648953202899991,Alto,90.75
3,0,0,0,83.75,247.25,0,2,0.7617681149878769,Alto,83.75
1,0,0,0,70.45,70.45,1,3,0.7617264435259173,Alto,70.45
9,0,0,0,90.1,816.8,1,2,0.761514536402034,Alto,90.1
4,0,0,0,89.6,365.65,0,3,0.7608702673610234,Alto,89.6
1,0,0,0,73.5,73.5,0,0,0.7601823369191905,Alto,73.5
9,0,0,0,94.4,857.25,0,2,0.7600456267253882,Alto,94.4
6,0,0,0,84.4,556.35,0,2,0.7592139085280096,Alto,84.4
8,0,0,0,85.2,695.75,1,2,0.7557775117690694,Alto,85.2
2,0,0,0,81.5,162.55,1,3,0.7536764425365897,Alto,81.5
3,0,0,0,73.85,196.4,1,2,0.7517993447004351,Alto,73.85
3,0,0,0,77.0,237.75,1,2,0.751470729606496,Alto,77.0
6,0,0,0,94.05,518.75,0,3,0.7476409530435397,Alto,94.05
2,0,0,0,80.95,171.15,0,2,0.7466905556973918,Alto,80.95
3,0,0,0,80.7,239.45,0,2,0.7466905556973918,Alto,80.7
3,0,0,0,85.7,256.75,0,1,0.7444676821887687,Alto,85.7
1,0,0,0,24.2,24.2,0,3,0.7419148234078682,Alto,24.2
6,0,0,0,83.9,497.55,0,2,0.7403471487697213,Alto,83.9
2,0,0,0,80.55,184.1,0,2,0.7353278260596984,Alto,80.55
4,0,0,0,80.35,307.4,0,2,0.7353278260596984,Alto,80.35
2,0,0,0,79.95,174.45,0,2,0.7353278260596984,Alto,79.95
2,0,0,0,79.0,143.65,0,2,0.7353278260596984,Alto,79.0
2,0,0,0,74.7,165.4,1,2,0.7332702046340984,Alto,74.7
1,0,0,0,59.85,59.85,0,2,0.7300199825718366,Alto,59.85
1,0,0,0,59.2,59.2,0,2,0.7300199825718366,Alto,59.2
1,0,0,0,69.5,69.5,1,0,0.7288842944116805,Alto,69.5
6,0,0,0,82.85,460.25,0,2,0.7244043471070833,Alto,82.85
14,0,0,0,104.85,1531.4,1,2,0.7215089586117975,Alto,104.85
10,0,0,0,89.5,863.1,0,2,0.7167762949270216,Alto,89.5
1,0,0,0,50.5,50.5,0,2,0.7163974059777092,Alto,50.5
9,0,0,0,84.4,732.5,1,1,0.7155321638128416,Alto,84.4
1,0,0,0,35.55,35.55,0,2,0.7127138935249383,Alto,35.55
1,0,0,0,35.0,35.0,0,2,0.7127138935249383,Alto,35.0
2,0,0,0,75.8,160.75,0,2,0.7120927461443877,Alto,75.8
4,0,0,0,74.35,265.35,0,2,0.7114419900215679,Alto,74.35
4,0,0,0,73.9,280.85,0,2,0.7114419900215679,Alto,73.9
4,0,0,0,76.05,318.9,0,2,0.7110804766181915,Alto,76.05
8,0,0,0,87.05,762.1,0,2,0.710372366118206,Alto,87.05
10,0,0,0,85.6,813.85,0,2,0.710372366118206,Alto,85.6
5,0,0,0,85.3,420.45,0,3,0.7043171029591998,Alto,85.3
16,0,0,0,96.4,1581.2,1,2,0.7033545201562169,Alto,96.4
3,0,0,0,75.05,202.9,1,3,0.7009567559611055,Alto,75.05
3,0,0,0,75.85,256.6,0,2,0.6977561213600836,Alto,75.85
4,0,0,0,75.65,302.35,0,2,0.6977561213600836,Alto,75.65
4,0,0,0,76.65,333.6,0,0,0.6975944870516633,Alto,76.65
5,0,0,0,68.95,351.5,0,2,0.6947636213206047,Alto,68.95
24,0,0,0,99.65,2404.85,0,0,0.6903646369126587,Alto,99.65
1,0,0,0,55.55,55.55,0,3,0.6900817312426948,Alto,55.55
1,0,0,0,50.75,50.75,0,2,0.6879698724992465,Alto,50.75
3,0,0,0,75.5,220.6,0,2,0.6865846265866562,Alto,75.5
26,0,0,0,98.35,2515.3,0,2,0.6857981913302865,Alto,98.35
24,0,0,0,104.25,2433.9,1,2,0.6855223005772616,Alto,104.25
33,0,0,0,100.0,3320.6,0,2,0.6819143649221421,Alto,100.0
7,0,0,0,75.4,533.05,1,2,0.6818791978792172,Alto,75.4
7,0,0,0,74.4,527.9,1,3,0.6808284088674189,Alto,74.4
2,0,0,0,30.4,78.65,1,2,0.6761294978097588,Alto,30.4
15,0,0,0,91.5,1400.3,1,2,0.6754829225097582,Alto,91.5
34,0,0,0,100.05,3480.0,0,2,0.6731728677558811,Alto,100.05
37,0,0,0,100.05,3810.55,0,2,0.6731728677558811,Alto,100.05
15,0,0,0,89.85,1424.95,1,2,0.672286016756089,Alto,89.85
1,0,0,0,50.45,50.45,0,3,0.6701695473870106,Alto,50.45
1,0,0,0,50.45,50.45,0,3,0.6701695473870106,Alto,50.45
3,0,0,0,74.4,215.8,0,0,0.6701181835886694,Alto,74.4
3,0,0,0,73.6,232.5,0,1,0.6701181835886694,Alto,73.6
5,0,0,2,82.75,417.75,0,2,0.667097584772417,Alto,82.75
21,0,0,0,104.35,2271.85,1,2,0.6654240018172967,Alto,104.35
2,0,0,0,70.75,154.85,1,2,0.6611701924947521,Alto,70.75
2,0,0,0,70.65,142.35,1,2,0.6611701924947521,Alto,70.65
3,0,0,0,70.4,204.7,1,2,0.6611701924947521,Alto,70.4
4,0,0,0,70.2,280.35,1,2,0.6611701924947521,Alto,70.2
11,0,0,0,95.15,997.65,1,0,0.6611273228452256,Alto,95.15
1,0,2,0,75.3,75.3,0,3,0.6598230988415615,Alto,75.3
21,0,0,0,99.85,1992.55,0,1,0.6597809573030766,Alto,99.85
2,0,0,0,74.9,147.15,0,1,0.6591382567622359,Alto,74.9
13,0,0,2,99.0,1301.7,0,3,0.6588236435935237,Alto,99.0
8,0,0,0,80.65,633.3,1,1,0.6588148705166951,Alto,80.65
4,0,0,2,90.4,356.65,0,2,0.6577345580664966,Alto,90.4
4,0,0,0,80.3,324.2,0,3,0.65747320187409,Alto,80.3
9,0,0,0,80.8,713.1,0,2,0.6531250329289406,Alto,80.8
6,0,0,0,80.5,463.05,0,1,0.6527372367738775,Alto,80.5
7,0,0,2,89.75,608.8,0,2,0.6502783219661296,Alto,89.75
7,0,0,0,78.55,522.95,0,0,0.6483362643242342,Alto,78.55
1,0,0,0,45.15,45.15,0,3,0.6475527347976376,Alto,45.15
11,0,0,0,84.8,906.85,1,1,0.6473406282653338,Alto,84.8
1,0,0,0,24.8,24.8,0,2,0.6442605415523968,Alto,24.8
8,0,0,0,75.75,606.25,1,2,0.6441232884367458,Alto,75.75
31,0,0,0,93.8,3019.5,0,2,0.6438385271167134,Alto,93.8
5,0,0,0,69.95,330.15,0,2,0.6437296342317088,Alto,69.95
11,0,0,0,84.8,888.75,0,2,0.6415635459641238,Alto,84.8
1,0,0,0,45.2,45.2,1,2,0.6408895922896247,Alto,45.2
1,0,0,0,53.5,53.5,0,3,0.6394404085999842,Alto,53.5
1,0,0,0,50.75,50.75,0,3,0.6394404085999842,Alto,50.75
5,0,0,0,75.6,402.5,0,2,0.6380257551582347,Alto,75.6
13,0,0,2,89.4,1132.35,0,2,0.637656151191376,Alto,89.4
9,0,0,0,88.4,788.6,0,3,0.6333464924128868,Alto,88.4
15,0,0,0,79.4,1156.1,1,2,0.6332665229662139,Alto,79.4
3,0,0,0,41.15,132.2,1,2,0.6325105764559044,Alto,41.15
2,0,0,0,67.75,116.65,0,2,0.6312865593656974,Alto,67.75
2,0,0,2,79.85,152.45,0,2,0.630699841092632,Alto,79.85
17,0,0,0,92.55,1614.7,1,2,0.6302177697990622,Alto,92.55
1,0,0,0,55.45,55.45,0,2,0.6298616372943873,Alto,55.45
1,0,0,0,55.4,55.4,0,2,0.6298616372943873,Alto,55.4
7,0,0,0,75.15,525.0,0,2,0.6292960440710688,Alto,75.15
6,0,0,0,74.9,469.8,0,2,0.6292960440710688,Alto,74.9
2,0,0,0,35.1,68.75,0,2,0.6291120531027266,Alto,35.1
3,0,0,2,89.85,244.45,0,3,0.6285696347181143,Alto,89.85
5,0,0,2,85.4,425.9,0,1,0.6278121667721226,Alto,85.4
11,0,0,0,78.5,874.2,1,2,0.6270474022009745,Alto,78.5
37,0,2,0,106.75,4056.75,1,0,0.6266755849358856,Alto,106.75
4,0,0,2,93.5,362.2,0,2,0.625064532595779,Alto,93.5
4,0,0,0,69.35,261.65,1,2,0.6236464624934253,Alto,69.35
25,0,0,0,95.9,2448.75,0,2,0.6234649957118352,Alto,95.9
19,0,2,2,105.0,2007.25,1,3,0.6189637305727071,Alto,105.0
2,0,0,0,74.9,136.05,0,3,0.6185419516013859,Alto,74.9
1,0,0,0,45.1,45.1,0,0,0.6144836698453,Alto,45.1
15,0,0,0,94.0,1505.45,0,1,0.614377522830611,Alto,94.0
2,0,0,0,70.95,137.95,0,2,0.6136495500983948,Alto,70.95
4,0,0,0,70.5,294.2,0,2,0.6136495500983948,Alto,70.5
2,0,0,0,70.35,139.25,0,2,0.6136495500983948,Alto,70.35
2,0,0,0,69.8,146.65,0,2,0.6136495500983948,Alto,69.8
5,0,0,0,69.7,316.9,0,2,0.6136495500983948,Alto,69.7
18,0,0,0,84.95,1443.65,1,2,0.6131194970591785,Alto,84.95
1,0,0,0,45.95,45.95,0,3,0.6129694492750447,Alto,45.95
1,0,0,0,45.85,45.85,0,3,0.6129694492750447,Alto,45.85
1,0,0,0,45.4,45.4,0,3,0.6129694492750447,Alto,45.4
1,0,0,0,45.35,45.35,0,3,0.6129694492750447,Alto,45.35
44,0,0,0,73.85,3122.4,1,2,0.6128970657272377,Alto,73.85
2,0,0,0,56.55,118.25,1,1,0.6116936559470375,Alto,56.55
2,0,0,0,50.15,115.1,1,1,0.6116936559470375,Alto,50.15
2,0,0,0,44.95,85.15,1,3,0.6114231876708782,Alto,44.95
17,0,0,0,102.55,1742.5,0,2,0.6100944112406358,Alto,102.55
9,0,0,0,76.25,684.85,0,2,0.6065897035920309,Alto,76.25
14,0,0,0,78.1,1122.4,0,2,0.6032225131676319,Alto,78.1
1,0,0,0,25.35,25.35,0,3,0.6030053677581958,Alto,25.35
3,0,0,0,75.0,209.1,0,3,0.6021495786595681,Alto,75.0
7,0,0,0,48.8,349.8,0,2,0.6018615660316772,Alto,48.8
8,0,0,2,90.25,743.75,0,2,0.5912370000350926,Alto,90.25
3,0,0,0,25.25,58.9,0,2,0.5902134849493645,Alto,25.25
11,0,0,0,78.1,864.85,1,1,0.5894372462477868,Alto,78.1
34,0,0,0,94.25,3217.55,1,2,0.5889597775225976,Alto,94.25
13,0,2,0,98.15,1230.25,0,3,0.5885944495855291,Alto,98.15
14,0,0,0,90.45,1266.1,1,1,0.5882724788476128,Alto,90.45
16,0,0,0,85.05,1391.15,1,1,0.5872758007246777,Alto,85.05
4,0,2,0,90.65,367.95,0,2,0.5855435380028845,Alto,90.65
27,0,0,0,95.55,2510.2,1,2,0.5849135942530296,Alto,95.55
5,0,2,0,84.5,453.75,0,2,0.582565972558465,Alto,84.5
23,0,0,0,93.5,2341.55,0,2,0.5785324803056119,Alto,93.5
26,0,0,0,91.25,2351.8,1,2,0.5754432744427386,Alto,91.25
3,0,0,0,43.3,123.65,0,2,0.5752266564706041,Alto,43.3
14,0,0,0,87.25,1258.6,0,2,0.5745114063187695,Alto,87.25
2,0,2,0,91.15,168.5,0,2,0.574457016100748,Alto,91.15
13,0,2,0,96.65,1244.5,0,2,0.5743556068029231,Alto,96.65
6,0,0,0,73.85,401.3,0,3,0.5726727002501045,Alto,73.85
1,0,0,0,24.6,24.6,0,2,0.5726327738245148,Alto,24.6
18,0,2,0,96.05,1740.7,0,2,0.5718871917438495,Alto,96.05
16,0,0,0,74.3,1178.25,1,1,0.571802065050921,Alto,74.3
47,0,0,0,99.7,4747.2,1,2,0.57076483809702,Alto,99.7
4,0,0,0,29.9,118.25,1,2,0.5706346950162389,Alto,29.9
8,0,0,0,74.85,572.45,0,2,0.5690599056514951,Alto,74.85
53,0,0,0,103.85,5485.5,1,2,0.5671652917353877,Alto,103.85
53,0,0,0,101.9,5549.4,1,2,0.5671652917353877,Alto,101.9
4,0,0,0,72.2,305.55,0,0,0.5668476431031246,Alto,72.2
2,0,0,0,70.0,153.05,0,0,0.5668476431031246,Alto,70.0
5,0,0,0,69.95,320.4,0,1,0.5668476431031246,Alto,69.95
2,0,0,0,69.75,144.55,0,0,0.5668476431031246,Alto,69.75
15,0,0,0,83.2,1130.0,0,0,0.5594044270555975,Alto,83.2
7,0,0,0,75.1,552.95,0,0,0.5587109793432957,Alto,75.1
17,0,0,0,100.45,1622.45,1,1,0.5578295454390378,Alto,100.45
3,0,0,0,35.2,108.95,0,1,0.5573381343236467,Alto,35.2
47,0,0,0,106.35,4849.1,0,2,0.5572906464207799,Alto,106.35
13,0,0,2,89.05,1169.35,1,0,0.5557234701947206,Alto,89.05
11,0,0,0,74.35,834.2,0,2,0.554160078378876,Alto,74.35
47,0,0,0,106.4,5127.95,0,2,0.5511841392730865,Alto,106.4
15,0,0,0,84.3,1308.4,0,2,0.5497549987916439,Alto,84.3
42,0,0,0,104.75,4323.45,1,0,0.5493869697672212,Alto,104.75
19,0,0,0,86.85,1564.4,0,2,0.5463753044046136,Alto,86.85
25,0,0,0,89.5,2196.15,1,2,0.5462712922681771,Alto,89.5
1,0,0,0,50.05,50.05,0,2,0.5444227205136902,Alto,50.05
1,0,0,0,49.95,49.95,0,2,0.5444227205136902,Alto,49.95
14,0,0,0,74.95,1036.75,1,2,0.5428811661820472,Alto,74.95
10,1,2,0,98.9,1064.95,0,2,0.5421820224535794,Alto,98.9
3,0,0,0,69.55,222.3,0,0,0.5416571898763246,Alto,69.55
3,0,0,0,69.15,235.0,0,0,0.5416571898763246,Alto,69.15
1,0,0,0,24.4,24.4,0,3,0.5404919364022097,Alto,24.4
1,0,0,0,24.4,24.4,0,3,0.5404919364022097,Alto,24.4
2,0,0,0,44.9,111.05,0,0,0.5395812789529333,Alto,44.9
20,0,0,0,90.2,1776.55,0,2,0.5364799582052092,Alto,90.2
18,0,0,0,77.8,1358.6,0,2,0.5351049271242904,Alto,77.8
12,0,0,0,106.7,1253.9,0,2,0.5342090588643835,Alto,106.7
13,0,0,0,80.85,1008.7,0,2,0.5327541621097103,Alto,80.85
32,0,0,0,74.4,2276.95,1,2,0.5323190090825315,Alto,74.4
21,0,0,0,95.4,2025.1,1,0,0.5320170863470671,Alto,95.4
7,0,0,0,75.45,480.75,0,3,0.5316765011532091,Alto,75.45
21,0,0,0,86.5,1808.7,0,2,0.5286800007182628,Alto,86.5
36,0,0,0,84.1,3021.6,1,2,0.5276750657328961,Alto,84.1
14,0,0,0,75.1,1013.35,1,2,0.5271431159220802,Alto,75.1
66,0,0,0,105.2,6936.85,0,2,0.5261342915978209,Alto,105.2
30,0,0,0,100.2,2983.8,0,2,0.5246893947821976,Alto,100.2
22,0,0,0,89.4,2001.5,0,2,0.5238080402199491,Alto,89.4
3,0,0,0,70.3,220.4,0,3,0.5232105083095706,Alto,70.3
2,0,0,0,69.95,143.9,0,3,0.5232105083095706,Alto,69.95
10,0,2,2,110.1,1043.3,0,2,0.5229625024048199,Alto,110.1
1,0,0,0,44.15,44.15,0,3,0.5228556702935966,Alto,44.15
1,0,0,0,29.95,29.95,0,0,0.5213224135736928,Alto,29.95
19,0,0,0,79.85,1471.75,1,2,0.5212758919141994,Alto,79.85
46,0,0,0,99.8,4391.25,0,2,0.5210841576713853,Alto,99.8
49,0,0,0,99.8,4872.45,0,2,0.5210841576713853,Alto,99.8
20,0,0,2,98.55,2031.95,0,3,0.520367586928992,Alto,98.55
13,0,0,0,79.8,973.45,0,2,0.5179897255735376,Alto,79.8
1,0,0,2,52.2,52.2,0,2,0.5177438929774804,Alto,52.2
31,0,0,0,94.5,2979.2,0,2,0.5176416257291383,Alto,94.5
50,0,0,0,95.05,4888.7,1,2,0.5164256869976414,Alto,95.05
3,0,0,0,25.0,78.25,0,3,0.5146452526480488,Alto,25.0
45,0,0,0,93.9,4200.25,1,0,0.5109977528483737,Alto,93.9
22,0,2,0,101.35,2317.1,0,0,0.5108080205846062,Alto,101.35
1,0,0,2,62.05,62.05,0,3,0.5104949507083888,Alto,62.05
34,0,0,0,106.35,3549.25,0,2,0.5065237948553601,Alto,106.35
4,0,0,0,48.75,179.85,1,3,0.5063809093090204,Alto,48.75
2,0,0,0,54.15,101.65,0,3,0.5058133453587152,Alto,54.15
2,0,0,0,50.3,92.75,0,3,0.5058133453587152,Alto,50.3
2,0,0,0,49.2,103.7,0,3,0.5058133453587152,Alto,49.2
5,0,2,0,90.35,434.5,0,3,0.5049588973757679,Alto,90.35
18,0,0,0,95.15,1779.95,0,3,0.5047605243995038,Alto,95.15
3,0,2,0,86.05,244.85,0,3,0.5031621111881127,Alto,86.05
1,0,2,0,55.7,55.7,0,3,0.5021476463952576,Alto,55.7
37,0,0,0,95.25,3314.15,0,2,0.5016911408864175,Alto,95.25
1,0,0,0,50.15,50.15,0,3,0.5005648435906421,Alto,50.15
20,0,0,0,85.8,1727.5,1,1,0.49840106907853526,Moderado,85.8
30,0,0,0,100.45,3096.9,0,2,0.49785755230671175,Moderado,100.45
40,0,0,0,102.65,4108.15,0,3,0.49570772400902785,Moderado,102.65
29,0,0,0,84.9,2516.2,0,2,0.49392065729336826,Moderado,84.9
6,0,0,0,69.1,435.0,0,2,0.4937099187259235,Moderado,69.1
2,0,2,0,74.4,139.4,0,2,0.4922082292545409,Moderado,74.4
4,1,0,2,105.65,443.9,0,2,0.4914427420384758,Moderado,105.65
13,0,0,0,23.9,300.8,0,2,0.4911911889969352,Moderado,23.9
34,0,0,0,75.55,2425.4,1,2,0.4908930923209056,Moderado,75.55
6,0,0,0,44.7,276.5,1,1,0.4905030291071569,Moderado,44.7
10,0,0,0,70.3,738.2,0,2,0.48990661649825307,Moderado,70.3
10,0,0,0,70.0,740.0,0,2,0.48990661649825307,Moderado,70.0
13,0,0,0,74.4,896.75,0,1,0.48856365463611484,Moderado,74.4
24,0,0,0,90.35,2238.5,0,2,0.48828766567203646,Moderado,90.35
13,0,0,0,78.3,1033.95,0,1,0.48806215206454984,Moderado,78.3
4,0,0,0,44.55,174.3,0,2,0.4868515172271216,Moderado,44.55
33,0,0,0,91.25,2964.05,0,2,0.4856319261413587,Moderado,91.25
31,0,0,0,91.15,2995.45,0,2,0.4856319261413587,Moderado,91.15
32,0,0,0,91.05,2871.5,0,2,0.4856319261413587,Moderado,91.05
35,0,0,0,95.45,3474.05,1,2,0.48483431766560664,Moderado,95.45
22,0,0,0,89.25,1907.85,0,2,0.4836272771375065,Moderado,89.25
21,0,0,0,73.7,1558.7,0,2,0.4818351508579932,Moderado,73.7
1,0,2,0,54.9,54.9,0,2,0.4811736798312102,Moderado,54.9
54,0,0,0,90.05,4931.8,1,2,0.47895417083694314,Moderado,90.05
2,0,0,2,70.3,132.4,0,2,0.47789044071661585,Moderado,70.3
3,0,0,0,40.15,130.75,0,3,0.4775030788455514,Moderado,40.15
30,0,0,0,85.0,2624.25,0,2,0.476488891058164,Moderado,85.0
50,0,0,0,95.7,4729.75,0,2,0.475089907321962,Moderado,95.7
7,0,2,0,76.45,503.6,1,0,0.47104412922412703,Moderado,76.45
11,0,0,0,72.9,818.45,0,2,0.4708630523401746,Moderado,72.9
33,0,0,0,93.35,3092.0,0,2,0.4707998090567704,Moderado,93.35
54,0,0,0,99.05,5295.7,1,1,0.4700240356721499,Moderado,99.05
17,0,0,0,80.85,1400.85,0,2,0.46890403219199633,Moderado,80.85
7,0,0,0,64.95,493.65,1,2,0.4686643979523404,Moderado,64.95
27,0,0,0,78.05,2135.5,1,2,0.46550376828218665,Moderado,78.05
1,0,0,0,49.95,49.95,0,0,0.46509659873905995,Moderado,49.95
6,0,0,0,50.35,314.55,0,2,0.4640628789250661,Moderado,50.35
1,0,1,1,20.15,20.15,0,3,0.4616937889896391,Moderado,20.15
1,0,1,1,20.1,20.1,0,3,0.4616937889896391,Moderado,20.1
18,0,0,0,74.15,1345.75,0,2,0.46032282588918416,Moderado,74.15
1,0,1,1,19.45,19.45,0,3,0.45966941768091973,Moderado,19.45
3,0,0,0,44.75,148.05,0,3,0.4596486168837551,Moderado,44.75
37,0,0,0,76.5,2868.15,1,2,0.45870909108098595,Moderado,76.5
37,0,0,0,76.25,2841.55,1,2,0.45870909108098595,Moderado,76.25
57,0,0,0,100.6,5746.15,1,2,0.4580933155887346,Moderado,100.6
22,1,0,0,100.05,2090.25,0,3,0.45752602658015384,Moderado,100.05
16,0,0,0,74.75,1129.35,0,1,0.4574479767966551,Moderado,74.75
14,0,0,0,70.2,1046.5,0,2,0.4567280366448306,Moderado,70.2
24,0,0,0,76.1,1712.7,1,2,0.4558707409567313,Moderado,76.1
41,0,2,0,113.2,4689.5,1,2,0.45439576473447235,Moderado,113.2
28,0,0,0,96.6,2684.35,0,1,0.45403281901345555,Moderado,96.6
3,0,0,2,69.35,191.35,0,2,0.45252319715012995,Moderado,69.35
33,0,0,0,105.35,3465.05,1,0,0.45159294612359013,Moderado,105.35
35,0,0,0,83.15,2848.45,0,2,0.44941877939875785,Moderado,83.15
31,0,0,0,80.45,2429.1,0,2,0.4481804526949358,Moderado,80.45
52,1,0,0,106.5,5621.85,1,2,0.44782011403515587,Moderado,106.5
36,0,0,0,85.25,3132.75,1,1,0.4463682044627936,Moderado,85.25
27,0,0,0,81.45,2122.05,1,2,0.4456077774212497,Moderado,81.45
18,0,0,0,80.55,1411.65,1,1,0.445513037983822,Moderado,80.55
3,0,0,2,29.9,92.25,0,2,0.44298957710344833,Moderado,29.9
33,0,0,0,83.85,2716.3,1,1,0.43957120753889983,Moderado,83.85
35,0,0,0,70.55,2419.0,1,2,0.4387078499945385,Moderado,70.55
1,0,1,1,20.0,20.0,0,2,0.43640441765519966,Moderado,20.0
18,0,0,0,90.7,1597.25,0,1,0.43449803101215034,Moderado,90.7
9,0,0,0,44.4,348.15,0,3,0.4344390574761182,Moderado,44.4
